[armor]
!0@	Kite Shield (Immortal)
!9@	Bone Helm (Immortal)
!q@	Light Plate (Immortal)
@01	Quilted Armor (Sacred)
704	Gothic Plate (3)
705	Full Plate Mail (3)
706	Ancient Armor (3)
707	Cap (3)
708	Skull Cap (3)
709	Helm (3)
710	Full Helm (3)
711	Great Helm (3)
712	Crown (3)
713	Buckler (3)
714	Small Shield (3)
715	Large Shield (3)
716	Kite Shield (3)
717	Tower Shield (3)
718	Gothic Shield (3)
719	Sash (3)
720	Light Belt (3)
721	Belt (3)
722	Heavy Belt (3)
723	Plated Belt (3)
724	Leather Gloves (3)
725	Heavy Gloves (3)
726	Chain Gloves (3)
727	Light Gauntlets (3)
728	Gauntlets (3)
729	Boots (3)
730	Heavy Boots (3)
731	Chain Boots (3)
732	Light Plated Boots (3)
733	Greaves (3)
734	Bone Shield (3)
735	Spiked Shield (3)
736	Mask (3)
737	Bone Helm (3)
738	Quilted Armor (4)
739	Leather Armor (4)
740	Hard Leather Armor (4)
741	Studded Leather (4)
742	Ring Mail (4)
743	Scale Mail (4)
744	Chain Mail (4)
745	Breast Plate (4)
746	Splint Mail (4)
747	Plate Mail (4)
748	Field Plate (4)
749	Light Plate (4)
750	Gothic Plate (4)
751	Full Plate Mail (4)
752	Ancient Armor (4)
753	Cap (4)
754	Skull Cap (4)
755	Helm (4)
756	Full Helm (4)
757	Great Helm (4)
758	Crown (4)
759	Buckler (4)
760	Small Shield (4)
761	Large Shield (4)
762	Kite Shield (4)
763	Tower Shield (4)
764	Gothic Shield (4)
765	Sash (4)
766	Light Belt (4)
767	Belt (4)
768	Heavy Belt (4)
769	Plated Belt (4)
770	Leather Gloves (4)
771	Heavy Gloves (4)
772	Chain Gloves (4)
773	Light Gauntlets (4)
774	Gauntlets (4)
775	Boots (4)
776	Heavy Boots (4)
777	Chain Boots (4)
778	Light Plated Boots (4)
779	Greaves (4)
780	Bone Shield (4)
781	Spiked Shield (4)
782	Mask (4)
783	Bone Helm (4)
784	Quilted Armor (5)
785	Leather Armor (5)
786	Hard Leather Armor (5)
787	Studded Leather (5)
788	Ring Mail (5)
789	Scale Mail (5)
790	Chain Mail (5)
791	Breast Plate (5)
792	Splint Mail (5)
793	Plate Mail (5)
794	Field Plate (5)
795	Light Plate (5)
796	Gothic Plate (5)
797	Full Plate Mail (5)
798	Ancient Armor (5)
799	Cap (5)
8@G	Lamellar Armor (1)
8@H	Kazarghand (3)
8@I	Banded Plate (5)
8@J	Ceremonial Armor (Sacred)
8@K	Cervelliere (2)
8@L	Einherjar Helm (4)
8@M	Spangenhelm (6)
8@N	Aspis (1)
8@O	Totem Shield (3)
8@P	Bladed Shield (5)
800	Skull Cap (5)
801	Helm (5)
802	Full Helm (5)
803	Great Helm (5)
804	Crown (5)
805	Buckler (5)
806	Small Shield (5)
807	Large Shield (5)
808	Kite Shield (5)
809	Tower Shield (5)
810	Gothic Shield (5)
811	Sash (5)
812	Light Belt (5)
813	Belt (5)
814	Heavy Belt (5)
815	Plated Belt (5)
816	Leather Gloves (5)
817	Heavy Gloves (5)
818	Chain Gloves (5)
819	Light Gauntlets (5)
820	Gauntlets (5)
821	Boots (5)
822	Heavy Boots (5)
823	Chain Boots (5)
824	Light Plated Boots (5)
825	Greaves (5)
826	Bone Shield (5)
827	Spiked Shield (5)
828	Mask (5)
829	Bone Helm (5)
830	Quilted Armor (6)
831	Leather Armor (6)
832	Hard Leather Armor (6)
833	Studded Leather (6)
834	Ring Mail (6)
835	Scale Mail (6)
836	Chain Mail (6)
837	Breast Plate (6)
838	Splint Mail (6)
839	Plate Mail (6)
840	Field Plate (6)
841	Light Plate (6)
842	Gothic Plate (6)
843	Full Plate Mail (6)
844	Ancient Armor (6)
845	Cap (6)
846	Skull Cap (6)
847	Helm (6)
848	Full Helm (6)
849	Great Helm (6)
850	Crown (6)
851	Buckler (6)
852	Small Shield (6)
853	Large Shield (6)
854	Kite Shield (6)
855	Tower Shield (6)
856	Gothic Shield (6)
857	Sash (6)
858	Light Belt (6)
859	Belt (6)
860	Heavy Belt (6)
861	Plated Belt (6)
862	Leather Gloves (6)
863	Heavy Gloves (6)
864	Chain Gloves (6)
865	Light Gauntlets (6)
866	Gauntlets (6)
867	Boots (6)
868	Heavy Boots (6)
869	Chain Boots (6)
870	Light Plated Boots (6)
871	Greaves (6)
872	Bone Shield (6)
873	Spiked Shield (6)
874	Mask (6)
875	Bone Helm (6)
9@G	Lamellar Armor (2)
9@H	Kazarghand (4)
9@I	Banded Plate (6)
9@J	Morion (1)
9@K	Cervelliere (3)
9@L	Einherjar Helm (5)
9@M	Spangenhelm (Sacred)
9@N	Aspis (2)
9@O	Totem Shield (4)
9@P	Bladed Shield (6)
aar	Ancient Armor
ba1	Jawbone Cap
ba2	Fanged Helm
ba3	Horned Helm
ba4	Assault Helmet
ba5	Avenger Guard
bhm	Bone Helm
brs	Breast Plate
bsh	Bone Shield
buc	Buckler
cap	Cap
chn	Chain Mail
ci0	Circlet
ci1	Coronet
ci2	Tiara
ci3	Diadem
crn	Crown
dr1	Wolf Head
dr2	Hawk Helm
dr3	Antlers
dr4	Falcon Mask
dr5	Spirit Mask
e10	Targe (5)
e11	Rondache (5)
e12	Heraldic Shield (5)
e13	Aerin Shield (5)
e14	Crown Shield (5)
e15	Preserved Head (5)
e16	Zombie Head (5)
e17	Unraveller Head (5)
e18	Gargoyle Head (5)
e19	Demon Head (5)
e20	Wolf Head (6)
e21	Hawk Helm (6)
e22	Antlers (6)
e23	Falcon Mask (6)
e24	Spirit Mask (6)
e25	Jawbone Cap (6)
e26	Fanged Helm (6)
e27	Horned Helm (6)
e28	Assault Helmet (6)
e29	Avenger Guard (6)
e30	Targe (6)
e31	Rondache (6)
e32	Heraldic Shield (6)
e33	Aerin Shield (6)
e34	Crown Shield (6)
e35	Preserved Head (6)
e36	Zombie Head (6)
e37	Unraveller Head (6)
e38	Gargoyle Head (6)
e39	Demon Head (6)
fhl	Full Helm
fld	Field Plate
ful	Full Plate Mail
ghm	Great Helm
gth	Gothic Plate
gts	Gothic Shield
hbl	Plated Belt
hbt	Greaves
hgl	Gauntlets
hla	Hard Leather Armor
hlm	Helm
k01	Circlet (1)
k02	Coronet (1)
k03	Tiara (1)
k04	Diadem (1)
k05	Circlet (2)
k06	Coronet (2)
k07	Tiara (2)
k08	Diadem (2)
k09	Circlet (3)
k10	Coronet (3)
k11	Tiara (3)
k12	Diadem (3)
k13	Circlet (4)
k14	Coronet (4)
k15	Tiara (4)
k16	Diadem (4)
k17	Circlet (5)
k18	Coronet (5)
k19	Tiara (5)
k20	Diadem (5)
k21	Circlet (6)
k22	Coronet (6)
k23	Tiara (6)
k24	Diadem (6)
kit	Kite Shield
lbl	Sash
lbt	Boots
lea	Leather Armor
lgl	Leather Gloves
lrg	Large Shield
ltp	Light Plate
mbl	Belt
mbt	Chain Boots
mgl	Chain Gloves
msk	Mask
ne1	Preserved Head
ne2	Zombie Head
ne3	Unraveller Head
ne4	Gargoyle Head
ne5	Demon Head
pa1	Targe
pa2	Rondache
pa3	Heraldic Shield
pa4	Aerin Shield
pa5	Crown Shield
pa9	Gilded Shield
plt	Plate Mail
qui	Quilted Armor
rng	Ring Mail
scl	Scale Mail
skp	Skull Cap
sml	Small Shield
spk	Spiked Shield
spl	Splint Mail
stu	Studded Leather
tbl	Heavy Belt
tbt	Light Plated Boots
tgl	Light Gauntlets
tow	Tower Shield
vbl	Light Belt
vbt	Heavy Boots
vgl	Heavy Gloves
w10	Wolf Head (1)
w11	Hawk Helm (1)
w12	Antlers (1)
w13	Falcon Mask (1)
w14	Spirit Mask (1)
w15	Jawbone Cap (1)
w16	Fanged Helm (1)
w17	Horned Helm (1)
w18	Assault Helmet (1)
w19	Avenger Guard (1)
w20	Targe (1)
w21	Rondache (1)
w22	Heraldic Shield (1)
w23	Aerin Shield (1)
w24	Crown Shield (1)
w25	Preserved Head (1)
w26	Zombie Head (1)
w27	Unraveller Head (1)
w28	Gargoyle Head (1)
w29	Demon Head (1)
w30	Wolf Head (2)
w31	Hawk Helm (2)
w32	Antlers (2)
w33	Falcon Mask (2)
w34	Spirit Mask (2)
w35	Jawbone Cap (2)
w36	Fanged Helm (2)
w37	Horned Helm (2)
w38	Assault Helmet (2)
w39	Avenger Guard (2)
w40	Targe (2)
w41	Rondache (2)
w42	Heraldic Shield (2)
w43	Aerin Shield (2)
w44	Crown Shield (2)
w45	Preserved Head (2)
w46	Zombie Head (2)
w47	Unraveller Head (2)
w48	Gargoyle Head (2)
w49	Demon Head (2)
w50	Wolf Head (3)
w51	Hawk Helm (3)
w52	Antlers (3)
w53	Falcon Mask (3)
w54	Spirit Mask (3)
w55	Jawbone Cap (3)
w56	Fanged Helm (3)
w57	Horned Helm (3)
w58	Assault Helmet (3)
w59	Avenger Guard (3)
w60	Targe (3)
w61	Rondache (3)
w62	Heraldic Shield (3)
w63	Aerin Shield (3)
w64	Crown Shield (3)
w65	Preserved Head (3)
w66	Zombie Head (3)
w67	Unraveller Head (3)
w68	Gargoyle Head (3)
w69	Demon Head (3)
w70	Wolf Head (4)
w71	Hawk Helm (4)
w72	Antlers (4)
w73	Falcon Mask (4)
w74	Spirit Mask (4)
w75	Jawbone Cap (4)
w76	Fanged Helm (4)
w77	Horned Helm (4)
w78	Assault Helmet (4)
w79	Avenger Guard (4)
w80	Targe (4)
w81	Rondache (4)
w82	Heraldic Shield (4)
w83	Aerin Shield (4)
w84	Crown Shield (4)
w85	Preserved Head (4)
w86	Zombie Head (4)
w87	Unraveller Head (4)
w88	Gargoyle Head (4)
w89	Demon Head (4)
w90	Wolf Head (5)
w91	Hawk Helm (5)
w92	Antlers (5)
w93	Falcon Mask (5)
w94	Spirit Mask (5)
w95	Jawbone Cap (5)
w96	Fanged Helm (5)
w97	Horned Helm (5)
w98	Assault Helmet (5)
w99	Avenger Guard (5)

[weapons]
!01	Naginata (1)
!02	Naginata (2)
!03	Naginata (3)
!04	Naginata (4)
!05	Naginata (5)
!06	Naginata (6)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!09	Raptor Scythe (2)
!1!	Warp Blade (3)
!1@	Balanced Knife (Immortal)
!10	Raptor Scythe (3)
!11	Raptor Scythe (4)
!12	Raptor Scythe (5)
!13	Raptor Scythe (6)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!16	Bonesplitter (2)
!17	Bonesplitter (3)
!18	Bonesplitter (4)
!19	Bonesplitter (5)
!2!	Warp Blade (4)
!2@	Crystal Sword (Immortal)
!20	Bonesplitter (6)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!23	Mammen Axe (2)
!24	Mammen Axe (3)
!25	Mammen Axe (4)
!26	Mammen Axe (5)
!27	Mammen Axe (6)
!28	Mammen Axe (Sacred)
!29	Hammerhead Axe (2)
!3!	Warp Blade (5)
!3@	Scissors Katar (Immortal)
!30	Hammerhead Axe (3)
!31	Hammerhead Axe (4)
!32	Hammerhead Axe (5)
!33	Hammerhead Axe (6)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!36	Ono (2)
!37	Ono (3)
!38	Ono (4)
!39	Ono (5)
!4!	Warp Blade (6)
!4@	War Scepter (Immortal)
!40	Ono (6)
!41	Ono (Sacred)
!42	Valaska (1)
!43	Valaska (2)
!44	Valaska (3)
!45	Valaska (4)
!46	Valaska (5)
!47	Valaska (6)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!5@	Yew Wand (Immortal)
!50	Labrys (2)
!51	Labrys (3)
!52	Labrys (4)
!53	Labrys (5)
!54	Labrys (6)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!57	Flamen Staff (2)
!58	Flamen Staff (3)
!59	Flamen Staff (4)
!6@	Long War Bow (Immortal)
!60	Flamen Staff (5)
!61	Flamen Staff (6)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!64	Marrow Staff (2)
!65	Marrow Staff (3)
!66	Marrow Staff (4)
!67	Marrow Staff (5)
!68	Marrow Staff (6)
!69	Marrow Staff (Sacred)
!7@	Throwing Axe (Immortal)
!70	Hexblade (1)
!71	Hexblade (2)
!72	Hexblade (3)
!73	Hexblade (4)
!74	Hexblade (5)
!75	Hexblade (6)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!78	Spirit Edge (2)
!79	Spirit Edge (3)
!8@	throwing Spear (Immortal)
!80	Spirit Edge (4)
!81	Spirit Edge (5)
!82	Spirit Edge (6)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!85	Holy Lance (2)
!86	Holy Lance (3)
!87	Holy Lance (4)
!88	Holy Lance (5)
!89	Holy Lance (6)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!92	Tepoztopilli (2)
!93	Tepoztopilli (3)
!94	Tepoztopilli (4)
!95	Tepoztopilli (5)
!96	Tepoztopilli (6)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!99	Warp Blade (2)
!e@	Scythe (Immortal)
!r@	War Axe (Immortal)
!t@	Naginata (Immortal)
01@	Short Sword (Sacred)
02@	Scimitar (Sacred)
03@	Saber (Sacred)
04@	Falchion (Sacred)
05@	Broad Sword (Sacred)
07@	War Sword (Sacred)
08@	Two-Handed Sword (Sacred)
09@	Claymore (Sacred)
1@@	War Axe (Sacred)
1@1	Compound Bow (1)
1@2	Serpent Bow (3)
1@3	Maple Bow (5)
1@4	Viper Bow (Sacred)
1@5	Spatha (2)
1@6	Backsword (4)
1@7	Ida (6)
1@8	Kriegsmesser (1)
1@9	Bonebreaker (3)
1@A	Goedendag (5)
1@B	Angel Star (Sacred)
1@C	Hand of God (2)
1@D	Needle Crossbow (4)
1@E	Dart Thrower (6)
1@F	Trebuchet (1)
10@	Giant Sword (Sacred)
100	Short Sword (1)
101	Scimitar (1)
102	Saber (1)
103	Falchion (1)
104	Broad Sword (1)
106	War Sword (1)
107	Two-Handed Sword (1)
108	Claymore (1)
109	Giant Sword (1)
11@	Bastard Sword (Sacred)
110	Bastard Sword (1)
111	Flamberge (1)
112	Great Sword (1)
113	Crystal Sword (1)
114	Hand Axe (1)
115	Axe (1)
116	Double Axe (1)
117	Military Pick (1)
118	War Axe (1)
119	Large Axe (1)
12@	Flamberge (Sacred)
121	Battle Axe (1)
122	Great Axe (1)
123	Giant Axe (1)
124	Club (1)
125	Spiked Club (1)
126	Mace (1)
127	Morning Star (1)
128	Flail (1)
129	Scepter (1)
13@	Great Sword (Sacred)
130	Grand Scepter (1)
131	War Scepter (1)
132	Javelin (1)
133	Pilum (1)
134	Short Spear (1)
135	Glaive (1)
136	Throwing Spear (1)
137	Spear (1)
138	Trident (1)
139	Brandistock (1)
14@	Crystal Sword (Sacred)
140	Spetum (1)
141	Pike (1)
142	Dagger (1)
143	Dirk (1)
144	Kriss (1)
145	Blade (1)
146	Throwing Knife (1)
147	Flying Knife (1)
148	Balanced Knife (1)
149	Throwing Axe (1)
15@	Hand Axe (Sacred)
150	Balanced Axe (1)
151	Short Staff (1)
152	Long Staff (1)
153	Gnarled Staff (1)
154	Battle Staff (1)
155	War Staff (1)
158	Scythe (1)
16@	Axe (Sacred)
160	Short Bow (1)
161	Hunter's Bow (1)
162	Long Bow (1)
163	Composite Bow (1)
164	Short Battle Bow (1)
165	Long Battle Bow (1)
166	Short War Bow (1)
167	Long War Bow (1)
168	Short Sword (2)
169	Scimitar (2)
17@	Double Axe (Sacred)
170	Saber (2)
171	Falchion (2)
172	Broad Sword (2)
174	War Sword (2)
175	Two-Handed Sword (2)
176	Claymore (2)
177	Giant Sword (2)
178	Bastard Sword (2)
179	Flamberge (2)
18@	Military Pick (Sacred)
180	Great Sword (2)
181	Crystal Sword (2)
182	Hand Axe (2)
183	Axe (2)
184	Double Axe (2)
185	Military Pick (2)
186	War Axe (2)
187	Large Axe (2)
189	Battle Axe (2)
19@	Hammerhead Axe (1)
190	Great Axe (2)
191	Giant Axe (2)
192	Club (2)
193	Spiked Club (2)
194	Mace (2)
195	Morning Star (2)
196	Flail (2)
197	Scepter (2)
198	Grand Scepter (2)
199	War Scepter (2)
2@1	Compound Bow (2)
2@2	Serpent Bow (4)
2@3	Maple Bow (6)
2@4	Recurve Bow (1)
2@5	Spatha (3)
2@6	Backsword (5)
2@7	Ida (Sacred)
2@8	Kriegsmesser (2)
2@9	Bonebreaker (4)
2@A	Goedendag (6)
2@C	Hand of God (3)
2@D	Needle Crossbow (5)
2@E	Dart Thrower (Sacred)
2@F	Trebuchet (2)
20@	Large Axe (Sacred)
200	Javelin (2)
201	Pilum (2)
202	Short Spear (2)
203	Glaive (2)
204	Throwing Spear (2)
205	Spear (2)
206	Trident (2)
207	Brandistock (2)
208	Spetum (2)
209	Pike (2)
210	Dagger (2)
211	Dirk (2)
212	Kriss (2)
213	Blade (2)
214	Throwing Knife (2)
215	Flying Knife (2)
216	Balanced Knife (2)
217	Throwing Axe (2)
218	Balanced Axe (2)
219	Short Staff (2)
22@	Battle Axe (Sacred)
220	Long Staff (2)
221	Gnarled Staff (2)
222	Battle Staff (2)
223	War Staff (2)
226	Scythe (2)
228	Short Bow (2)
229	Hunter's Bow (2)
23@	Great Axe (Sacred)
230	Long Bow (2)
231	Composite Bow (2)
232	Short Battle Bow (2)
233	Long Battle Bow (2)
234	Short War Bow (2)
235	Long War Bow (2)
236	Short Sword (3)
237	Scimitar (3)
238	Saber (3)
239	Falchion (3)
24@	Giant Axe (Sacred)
240	Broad Sword (3)
242	War Sword (3)
243	Two-Handed Sword (3)
244	Claymore (3)
245	Giant Sword (3)
246	Bastard Sword (3)
247	Flamberge (3)
248	Great Sword (3)
249	Crystal Sword (3)
25@	Club (Sacred)
250	Hand Axe (3)
251	Axe (3)
252	Double Axe (3)
253	Military Pick (3)
254	War Axe (3)
255	Large Axe (3)
257	Battle Axe (3)
258	Great Axe (3)
259	Giant Axe (3)
26@	Spiked Club (Sacred)
260	Club (3)
261	Spiked Club (3)
262	Mace (3)
263	Morning Star (3)
264	Flail (3)
265	Scepter (3)
266	Grand Scepter (3)
267	War Scepter (3)
268	Javelin (3)
269	Pilum (3)
27@	Mace (Sacred)
270	Short Spear (3)
271	Glaive (3)
272	Throwing Spear (3)
273	Spear (3)
274	Trident (3)
275	Brandistock (3)
276	Spetum (3)
277	Pike (3)
278	Dagger (3)
279	Dirk (3)
28@	Morning Star (Sacred)
280	Kriss (3)
281	Blade (3)
282	Throwing Knife (3)
283	Flying Knife (3)
284	Balanced Knife (3)
285	Throwing Axe (3)
286	Balanced Axe (3)
287	Short Staff (3)
288	Long Staff (3)
289	Gnarled Staff (3)
29@	Flail (Sacred)
290	Battle Staff (3)
291	War Staff (3)
294	Scythe (3)
296	Short Bow (3)
297	Hunter's Bow (3)
298	Long Bow (3)
299	Composite Bow (3)
2ax	Double Axe
2hs	Two-Handed Sword
3@1	Compound Bow (3)
3@2	Serpent Bow (5)
3@3	Maple Bow (Sacred)
3@4	Recurve Bow (2)
3@5	Spatha (4)
3@6	Backsword (6)
3@7	Bronze Sword (1)
3@8	Kriegsmesser (3)
3@9	Bonebreaker (5)
3@A	Goedendag (Sacred)
3@C	Hand of God (4)
3@D	Needle Crossbow (6)
3@E	Stinger Crossbow (1)
3@F	Trebuchet (3)
30@	Scepter (Sacred)
300	Short Battle Bow (3)
301	Long Battle Bow (3)
302	Short War Bow (3)
303	Long War Bow (3)
