Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
maxmagicresist	38		1	9											1091	409	1024		5	0	9	100																	46	4	1	ModStr5x	ModStr5x									0
fireresist	39		1	9											43	20	1024		8	0	9	100																	36	4	2	ModStr1j	ModStr1j		2	4	2	ItemmodAllRes	ItemmodAllRes			0
maxfireresist	40		1	9											584	256	1024		5	0	9	100																	42	4	1	ModStr5u	ModStr5u		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
lightresist	41		1	9											43	20	1024		8	0	9	100																	38	4	2	ModStr1l	ModStr1l		2	4	2	ItemmodAllRes	ItemmodAllRes			0
maxlightresist	42		1	9											584	256	1024		5	0	9	100																	43	4	1	ModStr5w	ModStr5w		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
coldresist	43		1	9											43	20	1024		8	0	9	100																	40	4	2	ModStr1k	ModStr1k		2	4	2	ItemmodAllRes	ItemmodAllRes			0
maxcoldresist	44		1	9											584	256	1024		5	0	9	100																	44	4	1	ModStr5v	ModStr5v		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
poisonresist	45		1	9											43	20	1024		8	0	9	100																	34	4	2	ModStr1n	ModStr1n		2	4	2	ItemmodAllRes	ItemmodAllRes			0
maxpoisonresist	46		1	9											526	256	1024		5	0	9	100																	45	4	1	ModStr5y	ModStr5y		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
damageaura	47		1	16													1024																																			0
firemindam	48		1	16											11	10	1024		8	0	12	0												1					102	1	1	ModStr1p	ModStr1p									0
firemaxdam	49		1	16											19	10	1024		8	0	12	0												1					101	1	1	ModStr1o	ModStr1o									0
lightmindam	50		1	16											12	10	1024		6	0	12	0												1					99	1	1	ModStr1r	ModStr1r									0
lightmaxdam	51		1	16											17	10	1024		9	0	12	0												1					98	1	1	ModStr1q	ModStr1q									0
magicmindam	52		1	16											196	20	1024		6	0	12	0												1					104	1	1	strModMagicDamage	strModMagicDamage									0
magicmaxdam	53		1	16											183	20	1024		7	0	12	0												1					103	1	1	strModMagicDamage	strModMagicDamage									0
coldmindam	54		1	16											451	512	1024		6	0	12	0												1					96	1	1	ModStr1t	ModStr1t									0
coldmaxdam	55		1	16											128	340	1024		8	0	12	0												1					95	1	1	ModStr1s	ModStr1s									0
coldlength	56		1	16											77	4	1024		8	0	10	0												1																		0
poisonmindam	57		1	19											12	28	1024		9	0	14	0												1					92	1	1	ModStr4i	ModStr4i									0
poisonmaxdam	58		1	19											11	34	1024		9	0	14	0												1					91	1	1	ModStr4h	ModStr4h									0
poisonlength	59		1	16											0	4	1024		8	0	12	0												1																		0
lifedrainmindam	60		1	16											1044	341	1024		7	0	10	0												1					88	2	1	ModStr2z	ModStr2z									0
lifedrainmaxdam	61		1	16													1024																	1																		0
manadrainmindam	62		1	16											1179	341	1024		7	0	10	0												1					89	2	1	ModStr2y	ModStr2y									0
manadrainmaxdam	63		1	16													1024																	1																		0
stamdrainmindam	64		1	16											1288	341	1024		7	0	10	0												1					90	2	1	ModitemStamDrain	ModitemStamDrain									0
stamdrainmaxdam	65		1	16													1024																	1																		0
stunlength	66			16											25	4	1024				10	0												1					88	3	0	Moditemstun	Moditemstun									0
velocitypercent	67	1	1	10		1											1024		7	30	10	20																														0
attackrate	68	1	1	10		1											1024		7	30	10	20												1																		0
other_animrate	69	1	1	10		1											1024																																			0
quantity	70		1	16													1024																1	1																		0
value	71		1	9													1024		8	100	8	100											1																			0
durability	72		1	9													1024		8	0	10	150									1	maxdurability	1																			0
maxdurability	73		1	9											9	4	1024		8	0	10	90											1																			0
hpregen	74														45	41	1024		6	30	15	500																	56	1	2	ModStr2l	ModStr2w									0
item_maxdurability_percent	75		1	7											117	10	1024		7	20	10	100			1			maxdurability											3	2	2	ModStr2i	ModitemCursedDur									0
item_maxhp_percent	76		1	16											112	8	1024		6	10	10	100			11			maxhp											58	2	2	ModStr2g	ModitemCursedHPPct		10	2	2	ModitemHPManaP	ModitemHPManaP			0
item_maxmana_percent	77		1	16											112	8	1024		6	10	10	100			11			maxmana											54	2	2	ModStr2h	ModitemCursedMPPct		10	2	2	ModitemHPManaP	ModitemHPManaP			0
item_attackertakesdamage	78		1	16							1				112	128	1024		7	0	10	0													damagedinmelee	6	damagedbymissile	6	13	3	2	ModStr1v	ModStr1v									0
item_goldbonus	79		1	10											187	34	1024		9	100	10	75																	10	2	1	ModStr1w	ModitemCursedGold									0
item_magicbonus	80		1	9											577	102	1024		8	100	10	75																	8	2	1	ModStr1x	ModitemCursedMF									0
item_knockback	81		1	8							1				105	0	1024		7	0	2	0												1	domeleedamage	7	domissiledamage	7	76	3	0	ModStr1y	ModStr1y									0
item_timeduration	82		1	10													1024		9	20	9	20																														0
item_addclassskills	83		1	5	3						1				224	51	1024		3	0	4	0	3																150	13	1	ModStr3a	ModStr3a									0
unsentparam1	84																1024		3	0																																0
item_addexperience	85		1	9											36015	519	1024		3	0	8	25																	11	4	1	Moditem2ExpG	Moditem2ExpG									0
item_healafterkill	86		1	7							1				30	101	1024		3	0	10	0													kill	28			16	1	1	ModitemHPaK	ModitemHPaK									0
item_reducedprices	87			8											18957	203	1024		10	15	10	45																	8	2	2	ModitemRedVendP	ModitemRedVendP									0
item_doubleherbduration	88		1	2													1024		1	0	10	0																														0
item_lightradius	89		1	5							1				15	51	1024		4	4	8	5																	6	1	1	ModStr3f	ModStr3f									0
item_lightcolor	90		1	24							1				155	0	1024		5	0	24	0																														0
item_req_percent	91		1	8											26	-34	1024		8	100	10	100																	0	4	2	ModStr3h	ModStr3h									0
item_levelreq	92																1024		6	20	7																		2	1	1	ModitemRLZOMG	ModitemRLZOMG									0
item_fasterattackrate	93	1	1	9											1042	156	1024		7	20	10	60												1					145	2	1	ModStr4m	ModitemCursedIAS									0
item_levelreqpct	94														1042	-52	1024		7	20	10	64			1			item_levelreq											58	4	2	ModitemLevReq	ModitemLevReq									0
lastblockframe	95																1024		6	20																																0
item_fastermovevelocity	96	1	1	9											4083	156	1024		7	20	10	50																	148	2	1	ModStr4s	ModitemCursedMove									0
item_nonclassskill	97		1	15	11						1			1	181	327	1024		7	20	6	1	11																81	28												0
state	98	1		1	8						1				415	64	1024		6	20	1		8																													0
item_fastergethitrate	99	1	1	9											1065	72	1024		7	20	10	50																	139	2	1	ModStr4p	ModitemCursedFHR									0
monster_playercount	100																1024		7	20																																0
skill_poison_override_length	101			8													1024		6	20	6	0																														0
item_fasterblockrate	102	1	1	9											1484	72	1024		7	20	10	20																	136	2	1	ModStr4y	ModitemSlowerBlock									0
skill_bypass_undead	103			1											202	15505	1024		7	20	1	0																	150	3	0	Moditemiru	Moditemiru									0
skill_bypass_demons	104			1											202	15505	1024		6	20	1	0																	150	3	0	Moditemird	Moditemird									0
item_fastercastrate	105	1	1	9											3876	156	1024		7	20	10	50																	142	2	1	ModStr4v	ModitemCursedFCR									0
skill_bypass_beasts	106			1											202	15505	1024		7	20	1	0																	150	3	0	Moditemirb	Moditemirb									0
item_singleskill	107		1	15	11						1			1	181	256	1024		14	0	5	1	11																81	27												0
item_restinpeace	108			1							1				1987	0	1024		14	0	1	0												1	kill	29			81	3	0	ModitemSMRIP	ModitemSMRIP									0
curse_resistance	109		1	9											159	33	1024		14	20	8	20																	5	2	1	Moditemcures	ModitemCursedCurse									0
item_poisonlengthresist	110		1	9											27	10	1024		8	20	8	20																	18	2	2	ModStr3r	ModStr3r									0
item_normaldamage	111		1	8											94	100	1024		7	20	10	100												1					122	1	2	ModStr5b	ModStr5b									0
item_howl	112		1	8							1				55	10	1024		7	-1	7	25												1	domeleedamage	8	domissiledamage	8	79	5	2	ModStr3u	ModStr3u									0
item_stupidity	113		1	8							1				332	1024	1024		7	0	8	50												1	domeleedamage	9	domissiledamage	9	80	12	2	ModStr6d	ModStr6d									0
item_damagetomana	114		1	7							1				43	20	1024		6	0	10	0													damagedinmelee	13	damagedbymissile	13	11	2	1	ModStr3w	ModStr3w									0
item_ignoretargetac	115		1	2											1088	1024	1024		1	0	1	0												1					119	3	0	ModStr3y	ModStr3y									0
item_fractionaltargetac	116		1	8											67	20	1024		7	0	7	0												1					118	20	1	ModStr5o	ModStr5o									0
item_preventheal	117		1	8											48	50	1024		7	0	1	0												1					81	3	0	ModStr4a	ModStr4a									0
item_halffreezeduration	118		1	2											5096	988	1024		1	0	1	0																	19	3	0	ModStr4b	ModStr4b									0
item_tohit_percent	119		1	12											981	40	1024		9	20	10	20												1					117	2	1	ModStr4c	ModStr4c									0
item_damagetargetac	120		1	8											24	-20	1024		7	128	10	500												1					75	1	1	ModStr4d	ModStr4d									0
item_demondamage_percent	121		1	12											19	12	1024		9	20	10	20												1					112	4	1	ModStr4e	ModStr4e									0
item_undeaddamage_percent	122		1	12											13	12	1024		9	20	10	20												1					108	4	1	ModStr4f	ModStr4f									0
item_demon_tohit	123		1	13											15	7	1024		10	128	10	128												1					110	1	1	ModStr4j	ModStr4j									0
item_undead_tohit	124		1	13											11	7	1024		10	128	10	128												1					106	1	1	ModStr4k	ModStr4k									0
item_throwable	125		1	2											82	1024	1024		1	0	1	0																	5	3	0	ModStr5a	ModStr5a									0
item_elemskill	126		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModitemColdSkills	ModitemColdSkills									0
item_allskills	127		1	8							1				8	2	1024		3	0	5	0																	158	1	1	ModStr3k	ModStr3k									0
item_attackertakeslightdamage	128		1	6							1				4	102	1024		5	0	10	0													damagedinmelee	10			14	3	2	ModStr3j	ModStr3j		14	3	2	ModitemAllThorns				0
ironmaiden_level	129		1	10													1024																																			0
lifetap_level	130		1	10													1024																																			0
thorns_percent	131			12											33	2	1024				10	150																	13	2	1	Moditemthornsper	Moditemthornsper									0
bonearmor	132		1	32													1024																																			0
bonearmormax	133		1	32													1024																																			0
item_freeze	134		1	5							1				666	12	1024		5	0	5	5												1	domeleedamage	14	domissiledamage	14	78	12	2	ModStr3l	ModStr3l									0
item_openwounds	135		1	7							1				23	10	1024		7	0	8	0												1	domeleedamage	15	domissiledamage	15	83	2	1	ModStr3m	ModStr3m									0
item_crushingblow	136		1	7							1				98	40	1024		7	0	8	0												1	domeleedamage	16	domissiledamage	16	87	2	1	ModStr5c	ModStr5c									0
item_kickdamage	137		1	7											77	51	1024		7	0	10	0																	121	1	1	ModStr5e	ModStr5e									0
item_manaafterkill	138		1	7							1				17	102	1024		7	0	10	0													kill	17			16	1	1	ModStr5f	ModStr5f									0
item_healafterdemonkill	139		1	7							1				18	102	1024		7	0	10	0													kill	18			15	1	1	ModStr6c	ModStr6c									0
item_extrablood	140		1	7											15	10	1024		7	0	10	0												1																		0
item_deadlystrike	141		1	7											31	25	1024		7	0	8	0												1					85	2	1	ModStr5q	ModStr5q									0
item_absorbfire_percent	142		1	7											5486	102	1024		7	0	10	0																	23	2	2	ModStr5g	ModStr5g									0
item_absorbfire	143		1	7											1739	204	1024		7	0	10	0																	27	1	1	ModStr5h	ModStr5h									0
item_absorblight_percent	144		1	7											5486	102	1024		7	0	10	0																	24	2	2	ModStr5i	ModStr5i									0
item_absorblight	145		1	7											1739	204	1024		7	0	10	0																	29	1	1	ModStr5j	ModStr5j									0
item_absorbmagic_percent	146		1	7											5486	102	1024		7	0	10	0																	26	2	2	ModStr5k	ModStr5k									0
item_absorbmagic	147		1	7											1739	204	1024		7	0	10	0																	33	1	1	ModStr5l	ModStr5l									0
item_absorbcold_percent	148		1	7											5486	102	1024		7	0	10	0																	25	2	2	ModStr5m	ModStr5m									0
item_absorbcold	149		1	7											1739	204	1024		7	0	10	0																	31	1	1	ModStr5n	ModStr5n									0
item_slow	150		1	7							1				101	40	1024		7	0	8	50												1	domeleedamage	19	domissiledamage	19	77	2	2	ModStr5r	ModStr5r									0
item_aura	151		1								1						1024		7	0	7	1	11																													0
item_indesctructible	152		1	1													1024		7	0	1																		160	3	0	ModStre9s	ModStre9s									0
item_cannotbefrozen	153		1	2											15011	2048	1024		1		1																		20	3	0	ModStr5z	ModStr5z									0
item_staminadrainpct	154		1	7											102	20	1024		7	20	8	50												1					49	2	1	ModStr6e	ModStr6e									0
item_reanimate	155			7	11						1						1024		7	0	7	0	11											1	kill	31			17	23	1	Moditemreanimas	Moditemreanimas									0
item_pierce	156		1	7											1924	2048	1024		7	0	10	0												1					132	2	1	ModStr6g	ModStr6g									0
item_magicarrow	157		1	7											511	1024	1024		7	0	7	0																	131	3	0	ModStr6h	ModStr6h									0
item_explosivearrow	158		1	7											492	1536	1024		7	0	7	0																	133	3	0	ModStr6i	ModStr6i									0
item_throw_mindamage	159		1	6											76	128	1024		6	0	10	0												1																		0
item_throw_maxdamage	160		1	7											88	128	1024		7	0	10	0												1																		0
skill_handofathena	161		1	12											52	10	1024		6	0	6	10																	77	3	1	ModMsl	ModMsl									0
skill_staminapercent	162		1	13													1024								1			maxstamina																								0
skill_passive_staminapercent	163		1	12													1024								1			maxstamina																								0
skill_concentration	164		1	12											335	850	1024		5	0	8	20																	20	2	1	ModitemUninter	ModitemUninter									0
skill_enchant	165		1	12													1024																																			0
skill_pierce	166		1	12													1024																																			0
skill_conviction	167		1	12													1024																																			0
skill_chillingarmor	168		1	12													1024																																			0
skill_frenzy	169		1	12													1024																																			0
skill_decrepify	170		1	12													1024																																			0
skill_armor_percent	171		1	16											330	778	1024		10	0	10	0																	20	2	2	ModitemTotalAC	ModitemTotalAC									0
alignment	172	1		2													1024																																			0
target0	173			32													1024																																			0
target1	174			32													1024																																			0
goldlost	175			24													1024																																			0
conversion_level	176			8													1024																																			0
conversion_maxhp	177			16													1024																																			0
unit_dooverlay	178			16													1024																																			0
attack_vs_montype	179			9	10										19	14	1024		3	0	10		10											1																		0
damage_vs_montype	180			9	10										27	17	1024		3	0	10		10											1																		0
fade	181	1		7															14	0	3																															0
armor_override_percent	182	1	1	8											88	101	1024		2	0	9	100																	10	3	0	ModitemACLess	ModitemACLess									0
game_craftpoints	183		1	12											503	160	1024		1	0	11	100																	175	1	1	ModitemHuntPoints	ModitemHuntPoints									0
x_signet01	184		1	12											13	4	1024		5	0	5	0																														0
potion_stat_cap	185		1	11			1		12			1	1				1024																						3	1	1	ModitemStatCap	ModitemStatCap									0
potion_skill_cap	186		1	6			1		8			1	1				1024																						3	1	1	ModitemSkillCap	ModitemSkillCap									0
passive_lionheart_addstupidth	187		1	9													1024		1	0	3	0																	22	12	2	ModitemLHStupid	ModitemLHStupid									0
item_addskill_tab	188		1	3	6						1				11042	768	1024		10	0	3	0	16																151	14		StrSklTabItem1	StrSklTabItem1									0
item_killkillkill	189		1	9													1024		1	0	2	0																	62	3	0	ModitemPermaDark	ModitemPermaDark									0
passive_voidarchon_amplify	190		1	9													1024		1	0	2	0																														0
x_signet02	191		1	12											13	4	1024		5	0	5	0																														0
x_signet03	192		1	12											13	4	1024		5	0	5	0																														0
x_signet04	193		1	12											13	4	1024		5	0	5	0																														0
item_numsockets	194		1	4											38	170	1024		4	0	4	0											1																			0
item_skillonattack	195		1	7	17						1			2	190	256	1024		21	0	7	0	17											1	domeleeattack	20	domissileattack	20	160	15		ItemExpansiveChancX	ItemExpansiveChancX									0
item_skillonkill	196		1	7	17						1			2	85	19	1024		21	0	7	0	17											1	kill	20			160	15		ModitemskonKill	ModitemskonKill									0
item_skillondeath	197		1	7	17						1			2	11	9	1024		21	0	7	0	17												killed	30			160	15		Moditemskondeath	Moditemskondeath									0
item_skillonhit	198		1	7	17						1			2	190	256	1024		21	0	7	0	17											1	domeleedamage	20	domissiledamage	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									0
item_skillonlevelup	199		1	7	17						1			2	7	6	1024		21	0	7	0	17												levelup	30			160	15		ModitemskonLevel	ModitemskonLevel									0
skill_covenant_regen_hug	200		1	9													1024		1	0	2	0																														0
item_skillongethit	201		1	7	17						1			2	190	256	1024		21	0	7	0	17												damagedinmelee	21	damagedbymissile	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									0
x_signet05	202		1	12											13	4	1024		5	0	5	0																														0
item_totaldamage_perlevel	203		1	6											202	177	1024		6	0	10	0			2	5	level	damagepercent											60	8	2	ModTotPhysDmg	ModTotPhysDmg	increaseswithplaylevelX								0
item_charged_skill	204		1	30							1			3	401	256	1024		30	0	16	0	16																1	24		ModStre10d	ModStre10d									0
x_signet06	205		1	12											13	4	1024		5	0	5	0																														0
x_signet07	206		1	12											13	4	1024		5	0	5	0																														0
x_signet08	207		1	12											13	4	1024		5	0	5	0																														0
item_healonstriking	208		1	7							1				81	49	1024		6	0	9	0													domeleedamage	28	domissiledamage	28	22	1	1	ModitemHealAttack	ModitemHealAttack									0
item_manaonstriking	209		1	7							1				81	49	1024		6	0	9	0													domeleedamage	17	domissiledamage	17	20	1	1	ModitemManaAttack	ModitemManaAttack									0
skill_healonstrikingmelee	210		1	7							1				66	31	1024		6	0	9	0													domeleedamage	28			22	1	1	ModitemHealAttM	ModitemHealAttM									0
hex_dur_syn	211		1	7											22	8	1024		6	0	8	0																	19	3	0	ModitemHexSynLd	ModitemHexSynLd									0
passivelockout	212		1	12													1024																																			0
x_signet09	213		1	12											13	4	1024		5	0	5	0																														0
item_armor_perlevel	214		1	6											43	42	1024		6	0	10	0			4	5	level	armorclass											72	6	1	ModStr1i	ModStr1i	increaseswithplaylevelX								0
item_armorpercent_perlevel	215		1	6											87	100	1024		6	0	10	0			5	5	level	armorclass											73	8	1	Modstr2v	Modstr2v	increaseswithplaylevelX								0
item_hp_perlevel	216		1	6											92	64	1024	8	6	0	10	0			2	5	level	maxhp											57	6	1	ModStr1u	ModStr1u	increaseswithplaylevelX								0
item_mana_perlevel	217		1	6											90	128	1024	8	6	0	10	0			2	5	level	maxmana											53	6	1	ModStr1e	ModStr1e	increaseswithplaylevelX								0
item_maxdamage_perlevel	218		1	6											54	204	1024		6	0	10	0			4	5	level	maxdamage	secondary_maxdamage	item_throw_maxdamage				1					125	6	1	ModStr1f	ModStr1f	increaseswithplaylevelX								0
blessings_counter	219		1	12											5	2	1024		5	0	5	0																														0
x_signet10	220		1	12											13	4	1024		5	0	5	0																														0
x_signet11	221		1	12											13	4	1024		5	0	5	0																														0
x_signet12	222		1	12											13	4	1024		5	0	5	0																														0
x_signet13	223		1	12											13	4	1024		5	0	5	0																														0
x_signet14	224		1	12											13	4	1024		5	0	5	0																														0
item_tohitpercent_perlevel	225		1	6											10	256	1024		6	0	10	0			2	5	level	item_tohit_percent						1					116	7	1	ModStr4c	ModStr4c	increaseswithplaylevelX								0
x_signet15	226		1	12											13	4	1024		5	0	5	0																														0
x_signet16	227		1	12											13	4	1024		5	0	5	0																														0
x_signet17	228		1	12											13	4	1024		5	0	5	0																														0
x_signet18	229		1	12											13	4	1024		5	0	5	0																														0
item_resist_cold_perlevel	230		1	6											101	128	1024		6	0	10	0			2	5	level	coldresist											39	7	2	ModStr1k	ModStr1k	increaseswithplaylevelX								0
item_resist_fire_perlevel	231		1	6											101	128	1024		6	0	10	0			2	5	level	fireresist											35	7	2	ModStr1j	ModStr1j	increaseswithplaylevelX								0
item_resist_ltng_perlevel	232		1	6											101	128	1024		6	0	10	0			2	5	level	lightresist											37	7	2	ModStr1l	ModStr1l	increaseswithplaylevelX								0
item_resist_pois_perlevel	233		1	6											101	128	1024		6	0	10	0			2	5	level	poisonresist											33	7	2	ModStr1n	ModStr1n	increaseswithplaylevelX								0
x_signet19	234		1	12											13	4	1024		5	0	5	0																														0
x_signet20	235		1	12											13	4	1024		5	0	5	0																														0
x_signet21	236		1	12											13	4	1024		5	0	5	0																														0
x_signet22	237		1	12											13	4	1024		5	0	5	0																														0
x_signet23	238		1	12											13	4	1024		5	0	5	0																														0
item_find_gold_perlevel	239		1	6											42	256	1024		6	0	10	0			2	5	level	item_goldbonus											9	7	1	ModStr1w	ModStr1w	increaseswithplaylevelX								0
item_find_magic_perlevel	240		1	6											814	1024	1024		6	0	10	0			2	5	level	item_magicbonus											7	7	1	ModStr1x	ModStr1x	increaseswithplaylevelX								0
x_signet24	241		1	12											13	4	1024		5	0	5	0																														0
x_signet25	242		1	12											13	4	1024		5	0	5	0																														0
x_signet26	243		1	12											13	4	1024		5	0	5	0																														0
x_signet27	244		1	12											13	4	1024		5	0	5	0																														0
x_signet28	245		1	12											13	4	1024		5	0	5	0																														0
x_signet29	246		1	12											13	4	1024		5	0	5	0																														0
item_crushingblow_perlevel	247		1	6											213	1024	1024		6	0	10	0			2	5	level	item_crushingblow						1					86	7	1	ModStr5c	ModStr5c	increaseswithplaylevelX								0
item_openwounds_perlevel	248		1	6											181	128	1024		6	0	10	0			2	5	level	item_openwounds						1					82	7	1	ModStr3m	ModStr3m	increaseswithplaylevelX								0
x_signet30	249		1	12											13	4	1024		5	0	5	0																														0
item_totembound	250		1	6											118	512	1024		6	0	10	0																														0
x_signet31	251		1	12											13	4	1024		5	0	5	0																														0
item_replenish_durability	252		1	5											106	256	1024		5	0	6	0																	1	11	0	ModStre9t	ModStre9t									0
item_replenish_quantity	253		1	5											106	256	1024		5	0	6	0																	2	3	0	ModStre9v	ModStre9v									0
item_extra_stack	254		1												99	10	1024		8	0	8	0																	4	3	0	ModStre9i	ModStre9i									0
x_signet32	255		1	12											13	4	1024		5	0	5	0																														0
x_signet33	256		1	12											13	4	1024		5	0	5	0																														0
x_signet34	257		1	12											13	4	1024		5	0	5	0																														0
x_signet35	258		1	12											13	4	1024		5	0	5	0																														0
item_drain_aura	259		1	12											8	2	1024		2	0	2	0																	49	3	0	ModitemDrainAura	ModitemDrainAura									0
mchammer_count	260		1	12											4	2	1024		5	0	5	0																														0
new_totem_syn	261		1	12											599	170	1024		1	0	5	0																	150	1	1	ModitemTotemsMax	ModitemTotemsMax									0
passiveF	262		1	12													1024																																			0
x_signet36	263		1	12											13	4	1024		5	0	5	0																														0
x_signet37	264		1	12											13	4	1024		5	0	5	0																														0
item_has_toraja	265		1	12													1024		3	0	3	0																														0
item_warp_blue	266		1	7	17						1			2	190	256	1024		21	0	7	0	17											1	domeleeattack	20	domissileattack	20	140	3	0	ModitemWarpBlue	ModitemWarpBlue									0
item_stance_radius	267		1	12											266	1024	1024		5	0	5	0																	198	1	1	ModitemStanceRadius	ModitemStanceRadius									0
item_dummystat	268		1														1024																																			0
item_edyrem_mark	269		1	12													1024																																			0
item_has_edyrem	270		1	12													1024		3	0	3	0																														0
item_randomres_aura	271		1	12											8	2	1024		2	0	2	0																	49	3	0	ModitemRanRes	ModitemRanRes									0
item_randomspeed_aura	272		1	12											8	2	1024		2	0	2	0																	49	3	0	ModitemRandomAura	ModitemRandomAura									0
ice_guide	273		1	12											266	1024	1024		3	0	3	0																	198	1	1	ModitemICeGuide	ModitemICeGuide									0
item_sunburn_synergy	274		1	9											152	68	1024		8	0	8	0																	25	2	2	ModitemSunburnSyn	ModitemSunburnSyn									0
item_desc_breaker	275		1	12											8	2	1024		9	0	9	0																	2	2	1	ModitemBreakerDesc	ModitemBreakerDesc									0
